antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
{'salty snack'},{'rolls/buns'},0.018778401496925955,0.10999732691793639,0.001937984496124031,0.10320284697508897,0.9382304994746241,1.0,-0.00012758947232959948,0.9924236156192852,-0.06287730232824297,0.015279241306638566,-0.0076342241976849945,0.060410657995442416
{'sausage'},{'rolls/buns'},0.0603448275862069,0.10999732691793639,0.005346164127238706,0.08859357696566998,0.8054157264363825,1.0,-0.0012916056005677998,0.9765156911216323,-0.2045247217661011,0.03240178209801539,-0.024049085019200667,0.06859812505634653
{'seasonal products'},{'rolls/buns'},0.007083667468591286,0.10999732691793639,0.0010024057738572574,0.14150943396226415,1.2864806620967926,1.0,0.00022322128753667092,1.0367064104032828,0.22427424058868395,0.008635578583765112,0.03540675550467943,0.07531121758866549
{'shopping bags'},{'rolls/buns'},0.047580860732424485,0.10999732691793639,0.004744720662924352,0.0997191011235955,0.9065593130094064,1.0,-0.0004890468300969468,0.9885833123782048,-0.09765293383270923,0.031045037166593795,-0.01154853362265483,0.07142698677078924
{'rolls/buns'},{'soda'},0.10999732691793639,0.097099705960973,0.008086073242448543,0.07351154313487242,0.7570727677014665,1.0,-0.0025946348577761003,0.9745402517955661,-0.26499494634367055,0.04063129617192746,-0.026124881099087352,0.07839376193219877
{'soda'},{'rolls/buns'},0.097099705960973,0.10999732691793639,0.008086073242448543,0.08327598072952512,0.7570727677014665,1.0,-0.0025946348577761003,0.9708512642554342,-0.26220211433664664,0.04063129617192746,-0.030023894305705526,0.07839376193219877
{'soft cheese'},{'rolls/buns'},0.010024057738572574,0.10999732691793639,0.0010024057738572574,0.1,0.9091130012150669,1.0,-0.00010021378225678022,0.9888918589800706,-0.09172286940527297,0.008422234699606962,-0.011232917855533864,0.05455650060753342
{'specialty bar'},{'rolls/buns'},0.01396685378241112,0.10999732691793639,0.0012028869286287089,0.0861244019138756,0.782968135017761,1.0,-0.0003334296528901834,0.9738772705452947,-0.21943148019703046,0.00979858464888405,-0.026823430677336352,0.048530001685977896
{'specialty chocolate'},{'rolls/buns'},0.015971665330125635,0.10999732691793639,0.0012697139802191927,0.0794979079497908,0.7227258168655343,1.0,-0.0004871265125225071,0.9668665403027873,-0.2805121729805351,0.010182207931404072,-0.03426890715117365,0.04552052141110439
{'rolls/buns'},{'tropical fruit'},0.10999732691793639,0.06776263031275061,0.006081261694734028,0.055285540704738755,0.8158706421160854,1.0,-0.0013724465045968663,0.9867927398747347,-0.20228295654852577,0.03542234332425068,-0.013384026444035082,0.07251456522416425
{'tropical fruit'},{'rolls/buns'},0.06776263031275061,0.10999732691793639,0.006081261694734028,0.08974358974358973,0.8158706421160854,1.0,-0.0013724465045968663,0.9777494154986051,-0.19490477368290887,0.03542234332425068,-0.022756939711437406,0.07251456522416425
{'waffles'},{'rolls/buns'},0.01851109329056402,0.10999732691793639,0.0016038492381716118,0.08664259927797834,0.7876791346267726,1.0,-0.0004323215421189776,0.9744298041254215,-0.2154624811370729,0.01263823064770932,-0.026241188196751183,0.05061170061104263
{'whipped/sour cream'},{'rolls/buns'},0.04370489174017642,0.10999732691793639,0.0029403902699812884,0.0672782874617737,0.6116356583098308,1.0,-0.001867030994675915,0.9541995872060157,-0.39903102772910004,0.01950354609929078,-0.047998776574712305,0.047004878846318196
{'white bread'},{'rolls/buns'},0.023990911520983694,0.10999732691793639,0.0021384656508954825,0.08913649025069638,0.8103514216958813,1.0,-0.0005004704867374475,0.9770977358913175,-0.1934086492494297,0.016218955904713634,-0.02343907192435647,0.054288779754752804
{'rolls/buns'},{'whole milk'},0.10999732691793639,0.15791232290831328,0.01396685378241112,0.1269744835965978,0.8040821720437958,1.0,-0.0034030796249053495,0.9645625027786474,-0.21492749649977255,0.05500000000000001,-0.03673945142929216,0.10771068657189178
{'whole milk'},{'rolls/buns'},0.15791232290831328,0.10999732691793639,0.01396685378241112,0.08844688954718578,0.8040821720437958,1.0,-0.0034030796249053495,0.976358549903861,-0.22441248769374522,0.05500000000000001,-0.02421390184831897,0.10771068657189178
{'rolls/buns'},{'yogurt'},0.10999732691793639,0.08587276129377172,0.007818765036086608,0.07108140947752126,0.8277526937133293,1.0,-0.0016270091612903149,0.9840768050428069,-0.18950153131709932,0.04157782515991471,-0.01618084571813524,0.0810659965675544
{'yogurt'},{'rolls/buns'},0.08587276129377172,0.10999732691793639,0.007818765036086608,0.09105058365758754,0.8277526937133293,1.0,-0.0016270091612903149,0.9791553381082635,-0.1854277738050099,0.04157782515991471,-0.021288411634469144,0.0810659965675544
